名称,名称(英語),設置場所,都道府県名,市区町村名,行政区名,住所,緯度,経度,AEDのタイプ,パッドのタイプ,シリアルナンバー,モデルナンバー,AEDの有効期限,画像URL
島田市社会福祉協議会指定居宅介護支援事業所かわね：デイサービスのホール,"",社会福祉協議会川根：デイサービスのホール,静岡県,島田市,"",島田市川根町身成3100,34.938716,138.086652,"","","","","",""
川根老人憩いの家：事務室内,"",川根老人憩いの家：事務室内,静岡県,島田市,"",島田市川根町家山1104番地の1,34.940791,138.070034,"","","","","",""
川根児童館：図書館,"",川根児童館：図書館,静岡県,島田市,"",島田市川根町家山585,34.941204,138.07345,"","","","","",""
金谷消防署川根南分遣所：庁舎１階受付,"",金谷消防署川根南分遣所：庁舎１階受付,静岡県,島田市,"",島田市川根町身成3481番地の1,34.945576,138.089258,"","","","","",""
川根温泉ふれあいの泉：フロント,"",フロント,静岡県,島田市,"",島田市川根町笹間渡220,34.959886,138.089691,"","","","","",""
川根温泉ふれあいの泉：廊下（自動販売機）,"",廊下（自動販売機）,静岡県,島田市,"",島田市川根町笹間渡220,34.959886,138.089691,"","","","","",""
川根温泉ホテル：フロント,"",フロント,静岡県,島田市,"",島田市川根町笹間渡195番地の1,34.958752,138.090827,"","","","","",""
かわね保育園：職員室,"",かわね保育園：職員室,静岡県,島田市,"",島田市川根町家山1175番地の1,34.937347,138.070628,"","","","","",""
川根小学校：来客者玄関,"",川根小学校：来客者玄関,静岡県,島田市,"",島田市川根町家山420,34.939438,138.075345,"","","","","",""
川根中学校：来客者玄関,"",川根中学校：来客者玄関,静岡県,島田市,"",島田市川根町身成3340,34.943329,138.086727,"","","","","",""
川根文化センター：１階事務所,"",川根文化センター：１階事務所,静岡県,島田市,"",島田市川根町家山1173番地の1,34.937822,138.069745,"","","","","",""
川根地区センター：１階ロビー,"",川根地区センター：１階ロビー,静岡県,島田市,"",島田市川根町家山396番地の1,34.939858,138.076384,"","","","","",""
山村都市交流センターささま：１階管理室,"",山村都市交流センターささま：１階管理室,静岡県,島田市,"",島田市川根町笹間上394,35.007058,138.145368,"","","","","",""
川根地域交流センター：玄関付近,"",川根地域交流センター：玄関付近,静岡県,島田市,"",島田市川根町抜里546,34.953006,138.082911,"","","","","",""
島田北幼稚園：玄関,"",島田北幼稚園：玄関,静岡県,島田市,"",島田市野田1251-1,34.843496,138.182077,"","","","","",""
島田六合郵便局：カウンター,"",島田六合郵便局：カウンター,静岡県,島田市,"",島田市道悦1丁目16-16,34.836997,138.204621,"","","","","",""
島田商業高校：保健室,"",島田商業高校：保健室,静岡県,島田市,"",島田市祇園町8707,34.83498,138.1833956,"","","","","",""
島田商業高校：１階教室棟廊下,"",島田商業高校：１階教室廊下,静岡県,島田市,"",島田市祇園町8707,34.83498,138.1833956,"","","","","",""
社会福祉協議会：１階窓口,"",社会福祉協議会：1階窓口,静岡県,島田市,"",島田市大津通2－1,34.835519,138.17763,"","","","","",""
